Datum,Senaste,Öppen,Högst,Lägst,Vol.,+/- %
2016-12-23,"2.263,79","2.260,25","2.263,79","2.258,84",0,"0,13"
2016-12-22,"2.260,96","2.262,93","2.263,18","2.256,08",0,"-0,19"
2016-12-21,"2.265,18","2.270,54","2.271,23","2.265,15",0,"-0,25"
2016-12-20,"2.270,76","2.266,50","2.272,56","2.266,14",0,"0,36"
2016-12-19,"2.262,53","2.259,24","2.267,47","2.258,21",0,"0,20"
2016-12-16,"2.258,07","2.266,81","2.268,05","2.254,24",0,"-0,18"
2016-12-15,"2.262,03","2.253,77","2.272,12","2.253,77",0,"0,39"
2016-12-14,"2.253,28","2.268,35","2.276,20","2.248,44",0,"-0,81"
2016-12-13,"2.271,72","2.263,32","2.277,53","2.263,32",0,"0,65"
2016-12-12,"2.256,96","2.258,83","2.264,03","2.252,37",0,"-0,11"
2016-12-09,"2.259,53","2.249,73","2.259,80","2.249,23",0,"0,59"
2016-12-08,"2.246,19","2.241,13","2.251,69","2.237,57",0,"0,22"
2016-12-07,"2.241,35","2.210,72","2.241,63","2.208,93",0,"1,32"
2016-12-06,"2.212,23","2.207,26","2.212,78","2.202,21",0,"0,34"
2016-12-05,"2.204,71","2.200,65","2.209,42","2.199,97",0,"0,58"
2016-12-02,"2.191,95","2.191,12","2.197,95","2.188,37",0,"0,04"
2016-12-01,"2.191,08","2.200,17","2.202,60","2.187,44",0,"-0,35"
2016-11-30,"2.198,81","2.204,97","2.214,10","2.198,81",0,"-0,27"
2016-11-29,"2.204,66","2.200,76","2.210,46","2.198,15",0,"0,13"
2016-11-28,"2.201,72","2.210,21","2.211,14","2.200,36",0,"-0,53"
2016-11-25,"2.213,35","2.206,27","2.213,35","2.206,27",0,"0,39"
2016-11-23,"2.204,72","2.198,55","2.204,72","2.194,51",0,"0,08"
2016-11-22,"2.202,94","2.201,56","2.204,80","2.194,51",0,"0,22"
2016-11-21,"2.198,18","2.186,43","2.198,70","2.186,43",0,"0,75"
2016-11-18,"2.181,90","2.186,85","2.189,89","2.180,38",0,"-0,24"
2016-11-17,"2.187,12","2.178,61","2.188,06","2.176,65",0,"0,47"
2016-11-16,"2.176,94","2.177,53","2.179,22","2.172,20",0,"-0,16"
2016-11-15,"2.180,39","2.168,29","2.180,84","2.166,38",0,"0,75"
2016-11-14,"2.164,20","2.165,64","2.171,36","2.156,08",0,"-0,01"
2016-11-11,"2.164,45","2.162,71","2.165,92","2.152,49",0,"-0,14"
2016-11-10,"2.167,48","2.167,49","2.182,30","2.151,17",0,"0,20"
2016-11-09,"2.163,26","2.131,56","2.170,10","2.125,35",0,"1,11"
2016-11-08,"2.139,56","2.129,92","2.146,87","2.123,56",0,"0,38"
2016-11-07,"2.131,52","2.100,59","2.132,00","2.100,59",0,"2,22"
2016-11-04,"2.085,18","2.083,79","2.099,07","2.083,79",0,"-0,17"
2016-11-03,"2.088,66","2.098,80","2.102,56","2.085,23",0,"-0,44"
2016-11-02,"2.097,94","2.109,43","2.111,76","2.094,00",0,"-0,65"
2016-11-01,"2.111,72","2.128,68","2.131,45","2.097,85",0,"-0,68"
2016-10-31,"2.126,15","2.129,78","2.133,25","2.125,53",0,"-0,01"
2016-10-28,"2.126,41","2.132,23","2.140,72","2.119,36",0,"-0,31"
2016-10-27,"2.133,04","2.144,06","2.147,13","2.132,52",0,"-0,30"
2016-10-26,"2.139,43","2.136,97","2.145,73","2.131,59",0,"-0,17"
2016-10-25,"2.143,16","2.149,72","2.151,44","2.141,93",0,"-0,38"
2016-10-24,"2.151,33","2.148,50","2.154,79","2.146,91",0,"0,47"
2016-10-21,"2.141,16","2.139,43","2.142,63","2.130,09",0,"-0,01"
2016-10-20,"2.141,34","2.142,51","2.147,18","2.133,44",0,"-0,14"
2016-10-19,"2.144,29","2.140,81","2.148,44","2.138,15",0,"0,22"
2016-10-18,"2.139,60","2.138,31","2.144,38","2.135,49",0,"0,62"
2016-10-17,"2.126,50","2.132,95","2.135,61","2.124,43",0,"-0,30"
2016-10-14,"2.132,98","2.139,68","2.149,19","2.132,98",0,"0,02"
2016-10-13,"2.132,55","2.130,26","2.138,19","2.114,72",0,"-0,31"
2016-10-12,"2.139,18","2.137,67","2.145,36","2.132,77",0,"0,11"
2016-10-11,"2.136,73","2.161,35","2.161,56","2.128,84",0,"-1,24"
2016-10-10,"2.163,66","2.160,39","2.169,60","2.160,39",0,"0,46"
2016-10-07,"2.153,74","2.164,19","2.165,86","2.144,85",0,"-0,33"
2016-10-06,"2.160,77","2.158,22","2.162,93","2.150,28",0,"0,05"
2016-10-05,"2.159,73","2.155,15","2.163,95","2.155,15",0,"0,43"
2016-10-04,"2.150,49","2.163,37","2.165,46","2.144,01",0,"-0,50"
2016-10-03,"2.161,20","2.164,33","2.164,41","2.154,77",0,"-0,33"
2016-09-30,"2.168,27","2.156,51","2.175,30","2.156,51",0,"0,80"
2016-09-29,"2.151,13","2.168,90","2.172,67","2.145,20",0,"-0,93"
2016-09-28,"2.171,37","2.161,85","2.172,40","2.151,79",0,"0,53"
2016-09-27,"2.159,93","2.146,04","2.161,13","2.141,55",0,"0,64"
2016-09-26,"2.146,10","2.158,54","2.158,54","2.145,04",0,"-0,86"
2016-09-23,"2.164,69","2.173,29","2.173,75","2.163,97",0,"-0,57"
2016-09-22,"2.177,18","2.170,94","2.179,99","2.170,94",0,"0,65"
2016-09-21,"2.163,12","2.144,58","2.165,11","2.139,57",0,"1,09"
2016-09-20,"2.139,76","2.145,94","2.150,80","2.139,17",0,"0,03"
2016-09-19,"2.139,12","2.143,99","2.153,61","2.135,91",0,"-0,00"
2016-09-16,"2.139,16","2.146,48","2.146,48","2.131,20",0,"-0,38"
2016-09-15,"2.147,26","2.125,36","2.151,31","2.122,36",0,"1,01"
2016-09-14,"2.125,77","2.127,86","2.141,33","2.119,90",0,"-0,06"
2016-09-13,"2.127,02","2.150,47","2.150,47","2.120,27",0,"-1,48"
2016-09-12,"2.159,04","2.120,86","2.163,30","2.119,12",0,"1,47"
2016-09-09,"2.127,81","2.169,08","2.169,08","2.127,81",0,"-2,45"
2016-09-08,"2.181,30","2.182,76","2.184,94","2.177,49",0,"-0,22"
2016-09-07,"2.186,16","2.185,17","2.187,87","2.179,07",0,"-0,01"
2016-09-06,"2.186,48","2.181,61","2.186,57","2.175,10",0,"0,30"
2016-09-02,"2.179,98","2.177,49","2.184,87","2.173,59",0,"0,42"
2016-09-01,"2.170,86","2.171,33","2.173,56","2.157,09",0,"-0,00"
2016-08-31,"2.170,95","2.173,56","2.173,79","2.161,35",0,"-0,24"
2016-08-30,"2.176,12","2.179,45","2.182,27","2.170,41",0,"-0,20"
2016-08-29,"2.180,38","2.170,19","2.183,48","2.170,19",0,"0,52"
2016-08-26,"2.169,04","2.175,10","2.187,94","2.160,39",0,"-0,16"
2016-08-25,"2.172,47","2.173,29","2.179,00","2.169,74",0,"-0,14"
2016-08-24,"2.175,44","2.185,09","2.186,66","2.171,25",0,"-0,52"
2016-08-23,"2.186,90","2.187,81","2.193,42","2.186,80",0,"0,20"
2016-08-22,"2.182,64","2.181,58","2.185,15","2.175,96",0,"-0,06"
2016-08-19,"2.183,87","2.184,24","2.185,00","2.175,13",0,"-0,14"
2016-08-18,"2.187,02","2.181,90","2.187,03","2.180,46",0,"0,22"
2016-08-17,"2.182,22","2.177,84","2.183,08","2.168,50",0,"0,19"
2016-08-16,"2.178,15","2.186,24","2.186,24","2.178,14",0,"-0,55"
2016-08-15,"2.190,15","2.186,08","2.193,81","2.186,08",0,"0,28"
2016-08-12,"2.184,05","2.183,74","2.186,28","2.179,42",0,"-0,08"
2016-08-11,"2.185,79","2.177,97","2.188,45","2.177,97",0,"0,47"
2016-08-10,"2.175,49","2.182,81","2.183,41","2.172,00",0,"-0,29"
2016-08-09,"2.181,74","2.182,24","2.187,66","2.178,61",0,"0,04"
2016-08-08,"2.180,89","2.183,76","2.185,44","2.177,85",0,"-0,09"
2016-08-05,"2.182,87","2.168,79","2.182,87","2.168,79",0,"0,86"
2016-08-04,"2.164,25","2.163,51","2.168,19","2.159,07",0,"0,02"
2016-08-03,"2.163,79","2.156,81","2.163,79","2.152,56",0,"0,31"
2016-08-02,"2.157,03","2.169,94","2.170,20","2.147,58",0,"-0,64"
2016-08-01,"2.170,84","2.173,15","2.178,29","2.166,21",0,"-0,13"
2016-07-29,"2.173,60","2.168,83","2.177,09","2.163,49",0,"0,16"
2016-07-28,"2.170,06","2.166,05","2.172,85","2.159,74",0,"0,16"
2016-07-27,"2.166,58","2.169,81","2.174,98","2.159,07",0,"-0,12"
2016-07-26,"2.169,18","2.168,97","2.173,54","2.160,18",0,"0,03"
2016-07-25,"2.168,48","2.173,71","2.173,71","2.161,95",0,"-0,30"
2016-07-22,"2.175,03","2.166,47","2.175,11","2.163,24",0,"0,46"
2016-07-21,"2.165,17","2.172,91","2.174,56","2.159,75",0,"-0,36"
2016-07-20,"2.173,02","2.166,10","2.175,63","2.164,89",0,"0,43"
2016-07-19,"2.163,78","2.163,79","2.164,63","2.159,01",0,"-0,14"
2016-07-18,"2.166,89","2.162,04","2.168,35","2.159,63",0,"0,24"
2016-07-15,"2.161,74","2.165,13","2.169,05","2.155,79",0,"-0,09"
2016-07-14,"2.163,75","2.157,88","2.168,99","2.157,88",0,"0,53"
2016-07-13,"2.152,43","2.153,81","2.156,45","2.146,21",0,"0,01"
2016-07-12,"2.152,14","2.139,50","2.155,40","2.139,50",0,"0,70"
2016-07-11,"2.137,16","2.131,72","2.143,16","2.131,72",0,"0,34"
2016-07-08,"2.129,90","2.106,97","2.131,71","2.106,97",0,"1,53"
2016-07-07,"2.097,90","2.100,42","2.109,08","2.089,39",0,"-0,09"
2016-07-06,"2.099,73","2.084,43","2.100,72","2.074,02",0,"0,54"
2016-07-05,"2.088,55","2.095,05","2.095,05","2.080,86",0,"-0,68"
2016-07-01,"2.102,95","2.099,34","2.108,71","2.097,90",0,"0,19"
2016-06-30,"2.098,86","2.073,17","2.098,94","2.070,00",0,"1,36"
2016-06-29,"2.070,77","2.042,69","2.073,13","2.042,69",0,"1,70"
